word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
enhance,581.7428571428571,0.3360759155313051,1,5,0.4016970020223514,0.8366403379644965,0.8421052631578947,6.62,9.95,2.0,7,2.1,2.6,2.7647310595608534,84.21052631578947
enhancement,762.5757575757576,0.0,0,1,0.0,0.0,1.0,6.29,11.24,1.82,11,1.38,3.6,2.8822829948552706,100.0
enigma,746.2647058823529,0.4184200015277799,1,4,0.5363513074366129,0.7801230196073117,0.7862595419847328,5.35,14.17,1.66,6,1.681,2.85,2.8728929024230254,78.62595419847328
enjoy,582.2941176470588,0.2095141542224568,1,2,0.2720647864044614,0.7700892018821777,0.9533333333333334,7.67,5.75,1.93,5,3.626,2.35,2.7651424028740794,95.33333333333334
enjoyable,765.0294117647059,0.3869305444051804,1,2,0.8577435372751958,0.451102838541165,0.7183098591549296,7.63,8.44,1.73,9,2.0,3.75,2.883678132044564,71.83098591549296
enjoyment,781.7741935483871,0.1638137711943983,1,2,0.2152603043412042,0.761003157064857,0.9657534246575342,8.37,8.85,1.84,9,1.845,3.55,2.8930813302245055,96.57534246575342
enlarge,709.5757575757576,0.5537828878665532,1,5,0.7759809436178101,0.7136552674666004,0.5616438356164384,5.33,8.26,2.12,7,1.663,2.75,2.8509987695478483,56.16438356164384
enlighten,792.7352941176471,0.6438291735548838,1,4,0.8050236903642677,0.7997642569544202,0.5086206896551724,7.38,12.17,1.77,9,2.037,3.0,2.899128194259144,50.86206896551724
enlightenment,720.1212121212121,0.450715635705481,1,6,0.5842772332292303,0.7714071507021243,0.6065573770491803,6.79,11.33,1.37,13,1.875,4.75,2.857405603826762,60.65573770491803
enormous,790.8275862068965,0.0,0,1,0.0,0.0,1.0,5.68,6.53,2.12,8,2.722,2.9,2.898081810272986,100.0
ensemble,734.1071428571429,0.6117649583026006,1,4,0.7959238066421118,0.7686225153680841,0.4761904761904761,5.67,12.25,0.92,8,1.763,2.85,2.865759449774149,47.61904761904761
ensure,653.7352941176471,0.615779471759441,1,7,0.7764754458959776,0.7930443583427046,0.5175438596491229,5.71,11.11,2.06,6,2.405,1.7,2.815401932459818,51.75438596491229
enter,576.5333333333333,0.1461399137460847,1,2,0.1764720592525917,0.8281192748870723,0.9735099337748344,6.09,5.67,2.09,5,3.181,1.85,2.760824421889573,97.35099337748345
enterprise,705.8529411764706,0.4968060125543125,1,5,0.6186991988115726,0.8029847355687572,0.6611570247933884,6.0,12.89,1.73,10,2.617,3.75,2.848714228688936,66.11570247933885
entertain,851.939393939394,0.4958350964553907,1,5,0.7441075605787381,0.6663486876410036,0.4652777777777778,7.21,7.5,1.89,9,2.497,3.1,2.9304087006189437,46.52777777777778
entertaining,801.1515151515151,0.4706692407974212,1,3,0.6326697243357314,0.7439414637575682,0.7328767123287672,8.0,8.84,1.8,12,2.461,3.6,2.9037146583707836,73.28767123287672
entertainment,806.1212121212121,0.5729371652530384,1,5,0.760292724502769,0.753574441512299,0.4657534246575342,7.59,7.39,1.67,13,2.807,4.25,2.9064003492461015,46.57534246575342
enthusiasm,808.2,0.374563208164742,1,4,0.5380282847235088,0.6961775408466284,0.773972602739726,7.14,9.05,2.0,10,2.362,4.3,2.9075188461066293,77.3972602739726
enthusiastic,758.9117647058823,0.4013986522433752,1,5,0.6730228223227155,0.5964116504371734,0.5107913669064749,7.55,9.17,2.04,12,2.155,4.6,2.880191285343554,51.07913669064749
entire,630.1,0.2893393226168958,1,3,0.4069334185909922,0.7110237434387517,0.875,5.67,7.22,2.19,6,3.61,1.95,2.799409479615127,87.5
entity,782.6,0.3901436757270305,1,3,0.5207679858290999,0.7491698536458494,0.8294573643410853,5.19,9.5,1.59,6,1.94,2.4,2.8935398435646613,82.94573643410853
entrance,712.40625,0.2686243234254615,1,4,0.3387578614585388,0.7929685299962816,0.8888888888888888,6.05,6.84,1.71,8,2.904,2.6,2.852727720909967,88.88888888888889
entrepreneur,877.6363636363636,0.4821838782977664,1,3,0.6078048996543292,0.7933201568003057,0.7704918032786885,6.14,12.16,1.6,12,1.748,5.65,2.943314609324448,77.04918032786885
entry,697.4857142857143,0.275820017908571,1,4,0.3410763932388568,0.8086751923502762,0.8873239436619719,4.95,7.0,1.93,5,2.793,1.9,2.84353531693428,88.73239436619718
envelope,663.3529411764706,0.3649594904149352,1,2,0.5293608652873644,0.6894342108512619,0.88,5.95,6.25,1.52,8,2.711,3.1,2.821744659055201,88.0
envious,739.3333333333334,0.2254608526173712,1,2,0.364504909595104,0.618539961142953,0.930379746835443,3.52,9.26,1.8,7,1.813,2.7,2.868840287093479,93.0379746835443
environment,816.8181818181819,0.5273384117077717,1,4,0.7146880369014753,0.7378581765465719,0.6511627906976745,6.7,9.85,1.84,11,2.815,3.6,2.9121253962867675,65.11627906976744
environmental,931.46875,0.3379291872978702,1,3,0.4918077868059098,0.6871163823830077,0.8362068965517241,5.5,9.83,1.51,13,2.225,4.8,2.9691682892588673,83.62068965517241
envy,622.90625,0.4848385471087563,1,4,0.7391156611134407,0.655971145812783,0.6228571428571429,3.05,8.37,1.83,4,2.688,1.95,2.7944226884385888,62.28571428571429
enzyme,707.6551724137931,0.4688452762184893,1,5,0.5802282645432307,0.8080359142579434,0.6666666666666666,5.14,13.77,1.1,6,1.74,2.9,2.8498216853750167,66.66666666666666
epic,646.2333333333333,0.6806361920130626,1,4,0.8434277441259477,0.8069881465879599,0.4074074074074074,7.19,10.86,1.5,4,2.083,1.9,2.810389355584083,40.74074074074074
epidemic,794.3125,0.2051063112518145,1,3,0.2755735825102342,0.7442887281991093,0.9296875,2.05,11.05,1.4,8,2.243,3.3,2.899991397043044,92.96875
equal,611.4516129032259,0.6214253597625069,1,5,0.7283656036691255,0.853177795096433,0.5955882352941176,6.47,6.47,1.98,5,2.834,1.95,2.786362094928181,59.55882352941176
equality,759.2058823529412,0.500220668701758,1,5,0.6953894323169654,0.7193388991188356,0.6066666666666667,6.75,10.27,1.58,8,1.991,2.6,2.8803595643606563,60.66666666666667
equation,817.5,0.3864109998461907,1,2,0.5257570733644998,0.7349611054653324,0.88125,5.29,8.79,1.15,8,2.253,2.6,2.912487761332324,88.125
equator,683.3636363636364,0.7544410015544347,1,4,0.9544431930065796,0.7904514454944976,0.3896103896103896,5.42,8.59,1.17,7,1.505,2.7,2.8346518650878703,38.96103896103896
equilibrium,762.939393939394,0.4716041233265217,1,5,0.5774718031625801,0.8166703910801121,0.7297297297297297,6.32,12.67,1.21,11,1.672,5.3,2.882490040021595,72.97297297297297
equipment,768.8787878787879,0.4901031655645701,1,4,0.5586158081127509,0.8773528397278149,0.7678571428571429,5.62,7.5,1.87,9,3.114,3.65,2.8858578795873933,76.78571428571429
equity,727.516129032258,0.579244291233644,1,4,0.7659208884314774,0.7562716985299528,0.5038759689922481,5.41,15.53,1.36,6,1.833,2.35,2.8618426260731473,50.3875968992248
equivalent,762.030303030303,0.2135131641680485,1,3,0.2611348352539003,0.8176357013435248,0.9342105263157896,5.89,10.26,2.16,10,2.13,3.95,2.881972241913317,93.42105263157896
era,644.96875,0.1877266453824972,1,2,0.4323085120150684,0.4342423065127014,0.9112426035502958,5.29,11.14,1.93,3,2.465,1.7,2.8095386727262106,91.12426035502959
eradicate,855.8928571428571,0.0,0,1,0.0,0.0,1.0,3.79,14.75,1.94,9,1.447,2.85,2.9324194019855874,100.0
erase,575.483870967742,0.5706238125339783,1,4,0.7813359555965386,0.730318128132623,0.4822695035460992,4.89,5.68,1.8,5,2.502,1.85,2.760033156205832,48.22695035460992
erect,719.2,0.6752501884445598,1,2,0.8788073826002353,0.7683710922484677,0.702020202020202,5.79,12.83,1.83,5,1.785,1.85,2.8568496787251725,70.2020202020202
erection,751.40625,0.4382765865422124,1,3,0.5390755684234437,0.8130151173869306,0.7869822485207101,7.38,13.11,1.56,8,2.049,1.9,2.87587480308992,78.69822485207101
erotic,680.060606060606,0.3049968274847198,1,3,0.3753471123253331,0.8125727292670976,0.8907563025210085,5.83,12.63,1.29,6,2.303,2.2,2.8325476181544955,89.07563025210085
erratic,885.9310344827586,0.6246001863766482,1,5,0.8309332804409885,0.7516851245206639,0.39,3.21,12.7,2.08,7,1.935,2.95,2.947399915443107,39.0
error,581.6764705882352,0.4240617402707829,1,5,0.499532587608154,0.8489170692572068,0.7671232876712328,3.36,6.21,1.73,5,2.676,2.1,2.764681496495003,76.71232876712328
erupt,814.09375,0.518316692220536,1,4,0.6700555015640408,0.7735429244453381,0.6863905325443787,5.14,8.26,1.75,5,1.322,2.1,2.9106744205688555,68.63905325443787
eruption,817.7741935483871,0.3843503263710414,1,3,0.5298830653238447,0.7253493299245954,0.8153846153846154,4.74,7.53,1.07,8,1.322,2.7,2.912633401429408,81.53846153846153
escalator,741.3636363636364,0.3037236198601137,1,2,0.362051251733998,0.8388967539967573,0.9310344827586208,5.95,7.11,1.64,9,1.826,3.5,2.8700312802180696,93.10344827586208
escape,546.3823529411765,0.6671659219244731,1,5,0.8487577960547235,0.7860498307357612,0.3785714285714285,5.5,6.6,1.96,6,3.354,2.15,2.737496664055552,37.85714285714285
escort,686.90625,0.7070923459648629,1,6,0.8687342628910536,0.8139339912895068,0.4333333333333333,5.35,10.84,1.64,6,2.875,2.05,2.836897467938762,43.33333333333333
espionage,866.8571428571429,0.1745706790010255,1,3,0.2393944566136059,0.7292177165271245,0.9416058394160584,4.05,10.6,1.29,9,1.944,3.95,2.937947532100436,94.16058394160584
